stage,estimand,effect_size,model_count,family_count,models_per_family,family_correlation,benchmark_count,item_count,measurement_error,transport_heterogeneity,held_out_benchmark,held_out_family,simulated_standard_error,power,monte_carlo_se,power_ci_lower,power_ci_upper,target_power,design_adequacy,evidence_role
S4,MODEL_RANK_CORRELATION,0.01,13,11,1.1818181818181819,0.5,3,1319,0.1,0.2,ROTATING_LOBO,ROTATING_LOFO,0.3666666666666667,0.062,0.010784804124322332,0.04086178391632823,0.08313821608367178,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S4,MODEL_RANK_CORRELATION,0.02,13,11,1.1818181818181819,0.5,3,1319,0.1,0.2,ROTATING_LOBO,ROTATING_LOFO,0.3666666666666667,0.058,0.010453324829928513,0.03751148333334012,0.07848851666665989,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S4,MODEL_RANK_CORRELATION,0.03,13,11,1.1818181818181819,0.5,3,1319,0.1,0.2,ROTATING_LOBO,ROTATING_LOFO,0.3666666666666667,0.052,0.00992935043192655,0.03253847315342396,0.07146152684657603,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S4,MODEL_BENCHMARK_INTERACTION,0.01,13,11,1.1818181818181819,0.5,3,1319,0.1,0.2,ROTATING_LOBO,ROTATING_LOFO,0.016666666666666666,0.082,0.012269963325128565,0.057950871882748015,0.10604912811725199,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S4,MODEL_BENCHMARK_INTERACTION,0.02,13,11,1.1818181818181819,0.5,3,1319,0.1,0.2,ROTATING_LOBO,ROTATING_LOFO,0.016666666666666666,0.244,0.019207498535728174,0.20635330286997278,0.2816466971300272,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S4,MODEL_BENCHMARK_INTERACTION,0.03,13,11,1.1818181818181819,0.5,3,1319,0.1,0.2,ROTATING_LOBO,ROTATING_LOFO,0.016666666666666666,0.454,0.022265848288354075,0.41035893735482604,0.497641062645174,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S4,FAMILY_BENCHMARK_INTERACTION,0.01,13,11,1.1818181818181819,0.5,3,1319,0.1,0.2,ROTATING_LOBO,ROTATING_LOFO,0.017407765595569787,0.088,0.012669333052690659,0.0631681072167263,0.11283189278327369,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S4,FAMILY_BENCHMARK_INTERACTION,0.02,13,11,1.1818181818181819,0.5,3,1319,0.1,0.2,ROTATING_LOBO,ROTATING_LOFO,0.017407765595569787,0.218,0.018464885594013304,0.1818088242357339,0.2541911757642661,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S4,FAMILY_BENCHMARK_INTERACTION,0.03,13,11,1.1818181818181819,0.5,3,1319,0.1,0.2,ROTATING_LOBO,ROTATING_LOFO,0.017407765595569787,0.426,0.02211442967837968,0.38265571783037583,0.46934428216962415,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S4,DIAGNOSTIC_TRANSPORT_EFFECT,0.01,13,11,1.1818181818181819,0.5,3,1319,0.1,0.2,ROTATING_LOBO,ROTATING_LOFO,0.05,0.064,0.010945684080951725,0.042546459201334624,0.08545354079866538,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S4,DIAGNOSTIC_TRANSPORT_EFFECT,0.02,13,11,1.1818181818181819,0.5,3,1319,0.1,0.2,ROTATING_LOBO,ROTATING_LOFO,0.05,0.09,0.012798437404620925,0.06491506268694298,0.11508493731305701,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
